 שם ישוב,סמל ישוב,מספר קלפי,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
אבו ג'ווייעד (שבט, 000967, 0001.0, 000425, 000066, 000005, 000061, 000004, 000000, 000049, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000002, 000000, 000000, 000000, 000000, 000004, 000001, 000000, 000000, 000000, 000000, 000000, 000000
אבו ג'ווייעד (שבט, 000967, 0002.0, 000638, 000145, 000001, 000144, 000016, 000000, 000120, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000001, 000000, 000000, 000000, 000002, 000000, 000000, 000001, 000000, 000001, 000000, 000002
אבו ג'ווייעד (שבט, 000967, 0003.0, 000547, 000102, 000001, 000101, 000019, 000000, 000073, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000007, 000000, 000000, 000000, 000002, 000000, 000000, 000000, 000000, 000000, 000000, 000000
אבו גוש, 000472, 0001.0, 000705, 000442, 000004, 000438, 000041, 000002, 000359, 000000, 000001, 000000, 000002, 000000, 000000, 000000, 000000, 000008, 000001, 000007, 000005, 000000, 000000, 000000, 000003, 000003, 000000, 000002, 000000, 000000, 000000, 000004
אבו גוש, 000472, 0002.0, 000724, 000458, 000003, 000455, 000023, 000000, 000397, 000000, 000001, 000000, 000002, 000000, 000000, 000000, 000001, 000006, 000002, 000002, 000007, 000000, 000000, 000000, 000008, 000002, 000000, 000000, 000001, 000001, 000000, 000002
אבו גוש, 000472, 0003.0, 000740, 000476, 000011, 000465, 000017, 000001, 000384, 000000, 000000, 000000, 000003, 000000, 000000, 000000, 000000, 000002, 000000, 000027, 000007, 000000, 000000, 000001, 000011, 000004, 000000, 000002, 000000, 000000, 000001, 000005
אבו גוש, 000472, 0004.0, 000717, 000425, 000006, 000419, 000026, 000000, 000363, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000005, 000006, 000000, 000000, 000000, 000006, 000002, 000000, 000000, 000000, 000002, 000000, 000008
אבו גוש, 000472, 0005.0, 000716, 000381, 000006, 000375, 000021, 000000, 000302, 000000, 000001, 000000, 000003, 000001, 000000, 000000, 000000, 000003, 000002, 000010, 000009, 000000, 000000, 000000, 000010, 000002, 000000, 000000, 000001, 000001, 000000, 000009
אבו גוש, 000472, 0006.0, 000576, 000357, 000003, 000354, 000015, 000001, 000309, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000001, 000000, 000007, 000007, 000000, 000000, 000000, 000003, 000001, 000000, 000000, 000000, 000001, 000001, 000007
אבו סנאן, 000473, 0001.0, 000676, 000493, 000005, 000488, 000025, 000000, 000412, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000009, 000017, 000001, 000004, 000000, 000000, 000000, 000006, 000001, 000000, 000000, 000001, 000000, 000001, 000011
אבו סנאן, 000473, 0002.0, 000644, 000473, 000007, 000466, 000015, 000000, 000427, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000003, 000003, 000002, 000003, 000000, 000000, 000000, 000008, 000001, 000000, 000000, 000001, 000000, 000000, 000003
אבו סנאן, 000473, 0003.0, 000661, 000469, 000007, 000462, 000021, 000000, 000262, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000018, 000099, 000037, 000006, 000000, 000000, 000000, 000005, 000001, 000000, 000000, 000001, 000001, 000000, 000011
אבו סנאן, 000473, 0004.0, 000637, 000417, 000005, 000412, 000014, 000000, 000301, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000015, 000049, 000012, 000006, 000000, 000000, 000000, 000000, 000008, 000000, 000001, 000000, 000001, 000000, 000005
אבו סנאן, 000473, 0005.0, 000764, 000537, 000005, 000532, 000027, 000000, 000398, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000007, 000050, 000026, 000009, 000000, 000000, 000000, 000004, 000002, 000000, 000000, 000002, 000000, 000000, 000006
אבו סנאן, 000473, 0006.0, 000661, 000500, 000002, 000498, 000027, 000000, 000311, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000007, 000056, 000050, 000003, 000001, 000000, 000000, 000000, 000004, 000000, 000000, 000000, 000002, 000000, 000036
אבו סנאן, 000473, 0007.0, 000661, 000491, 000003, 000488, 000019, 000000, 000280, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000010, 000085, 000046, 000004, 000000, 000000, 000000, 000002, 000004, 000000, 000000, 000001, 000002, 000000, 000035
אבו סנאן, 000473, 0008.0, 000697, 000477, 000008, 000469, 000004, 000000, 000391, 000000, 000000, 000000, 000002, 000000, 000000, 000000, 000006, 000001, 000009, 000008, 000015, 000000, 000001, 000001, 000006, 000002, 000001, 000003, 000001, 000002, 000000, 000016
אבו סנאן, 000473, 0009.0, 000791, 000519, 000001, 000518, 000025, 000001, 000361, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000029, 000056, 000019, 000008, 000002, 000000, 000000, 000000, 000002, 000000, 000001, 000001, 000000, 000000, 000013
אבו סנאן, 000473, 0010.0, 000670, 000436, 000003, 000433, 000031, 000001, 000237, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000019, 000093, 000017, 000003, 000000, 000000, 000000, 000006, 000004, 000000, 000000, 000000, 000000, 000000, 000021
אבו סנאן, 000473, 0011.0, 000744, 000500, 000005, 000495, 000065, 000000, 000171, 000000, 000000, 000000, 000004, 000000, 000000, 000000, 000000, 000009, 000185, 000019, 000002, 000000, 000000, 000000, 000000, 000008, 000000, 000000, 000003, 000002, 000000, 000027
