"Date","Publisher","Pollster","Type","Sample","Party","Mandates","Election"
2015-02-18,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"המחנה הציוני",24,2015
2015-02-18,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"הליכוד",22,2015
2015-02-18,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"הבית היהודי",13,2015
2015-02-18,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"יש עתיד",12,2015
2015-02-18,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"רשימה משותפת ערבית",12,2015
2015-02-18,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"כולנו",8,2015
2015-02-18,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"יהדות התורה",7,2015
2015-02-18,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"שס",7,2015
2015-02-18,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"מרצ",6,2015
2015-02-18,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"ישראל ביתנו",5,2015
2015-02-18,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"יחד",4,2015
2015-02-18,"ערוץ 10","קמיל פוקס","פאנל",860,"המחנה הציוני",23,2015
2015-02-18,"ערוץ 10","קמיל פוקס","פאנל",860,"הליכוד",22,2015
2015-02-18,"ערוץ 10","קמיל פוקס","פאנל",860,"הבית היהודי",13,2015
2015-02-18,"ערוץ 10","קמיל פוקס","פאנל",860,"יש עתיד",12,2015
2015-02-18,"ערוץ 10","קמיל פוקס","פאנל",860,"רשימה משותפת ערבית",12,2015
2015-02-18,"ערוץ 10","קמיל פוקס","פאנל",860,"כולנו",10,2015
2015-02-18,"ערוץ 10","קמיל פוקס","פאנל",860,"יהדות התורה",7,2015
2015-02-18,"ערוץ 10","קמיל פוקס","פאנל",860,"שס",7,2015
2015-02-18,"ערוץ 10","קמיל פוקס","פאנל",860,"ישראל ביתנו",5,2015
2015-02-18,"ערוץ 10","קמיל פוקס","פאנל",860,"מרצ",5,2015
2015-02-18,"ערוץ 10","קמיל פוקס","פאנל",860,"יחד",4,2015
2015-02-16,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",760,"המחנה הציוני",24,2015
2015-02-16,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",760,"הליכוד",23,2015
2015-02-16,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",760,"הבית היהודי",12,2015
2015-02-16,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",760,"יש עתיד",12,2015
2015-02-16,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",760,"רשימה משותפת ערבית",12,2015
2015-02-16,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",760,"יהדות התורה",7,2015
2015-02-16,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",760,"כולנו",7,2015
2015-02-16,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",760,"שס",7,2015
2015-02-16,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",760,"ישראל ביתנו",6,2015
2015-02-16,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",760,"מרצ",6,2015
2015-02-16,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",760,"יחד",4,2015
2015-02-15,"i24","גיאוקרטוגרפיה","מדגם",500,"הליכוד",27,2015
2015-02-15,"i24","גיאוקרטוגרפיה","מדגם",500,"המחנה הציוני",24,2015
2015-02-15,"i24","גיאוקרטוגרפיה","מדגם",500,"רשימה משותפת ערבית",12,2015
2015-02-15,"i24","גיאוקרטוגרפיה","מדגם",500,"הבית היהודי",11,2015
2015-02-15,"i24","גיאוקרטוגרפיה","מדגם",500,"יהדות התורה",8,2015
2015-02-15,"i24","גיאוקרטוגרפיה","מדגם",500,"יש עתיד",8,2015
2015-02-15,"i24","גיאוקרטוגרפיה","מדגם",500,"כולנו",7,2015
2015-02-15,"i24","גיאוקרטוגרפיה","מדגם",500,"שס",7,2015
2015-02-15,"i24","גיאוקרטוגרפיה","מדגם",500,"ישראל ביתנו",6,2015
2015-02-15,"i24","גיאוקרטוגרפיה","מדגם",500,"מרצ",6,2015
2015-02-15,"i24","גיאוקרטוגרפיה","מדגם",500,"יחד",4,2015
2015-02-15,"ערוץ 2","מדגם - גבע וצמח","פאנל",700,"המחנה הציוני",25,2015
2015-02-15,"ערוץ 2","מדגם - גבע וצמח","פאנל",700,"הליכוד",24,2015
2015-02-15,"ערוץ 2","מדגם - גבע וצמח","פאנל",700,"רשימה משותפת ערבית",12,2015
