election,results,party,attribute
2003,0,רשימות שוליים,old
2003,2,ישראל בעליה,old
2003,2,"רע""ם",old
2003,3,"בל""ד",old
2003,3,"חד""ש תע""ל",old
2003,3,עם אחד,old
2003,5,יהדות התורה,old
2003,6,"מפד""ל",old
2003,6,מרצ,old
2003,7,האיחוד הלאומי,old
2003,11,"ש""ס",old
2003,15,שינוי,new
2003,19,העבודה,old
2003,38,הליכוד,old
2006,0,עלה ירוק,old
2006,0,רשימות שוליים,old
2006,0,שינוי,old
2006,3,"בל""ד",old
2006,3,"חד""ש","old,split"
2006,4,"רע""מ תע""ל",combined
2006,5,מרצ,old
2006,6,יהדות התורה,old
2006,7,גיל,new
2006,9,האיחוד הלאומי,old
2006,11,ישראל ביתנו,"new,split"
2006,12,הליכוד,"old,split"
2006,12,"ש""ס",old
2006,19,העבודה,old
2006,29,קדימה,"new,split"
2009,0,גיל,old
2009,0,רשימות שוליים,old
2009,3,"בל""ד",old
2009,3,הבית היהודי,combined
2009,3,מרצ,old
2009,4,האיחוד הלאומי,old
2009,4,"חד""ש",old
2009,4,"רע""מ תע""ל",old
2009,5,יהדות התורה,old
2009,11,"ש""ס",old
2009,13,העבודה,old
2009,15,ישראל ביתנו,old
2009,27,הליכוד,old
2009,28,קדימה,old
2013,0,עוצמה לישראל,new
2013,0,רשימות שוליים,old
2013,2,קדימה,old
2013,3,"בל""ד",old
2013,4,"חד""ש",old
2013,4,"רע""מ תע""ל",old
2013,6,התנועה,"new,split"
2013,6,מרצ,old
2013,7,יהדות התורה,old
2013,11,"ש""ס",old
2013,12,הבית היהודי,old
2013,15,העבודה,old
2013,19,יש עתיד,new
2013,31,הליכוד ישראל ביתנו,combined
2015,,הבית היהודי,old
2015,,הליכוד,"old,split"
2015,,המחנה הציוני,combined
2015,,יהדות התורה,old
2015,,יחד,"new,split"
2015,,יש עתיד,old
2015,,ישראל ביתנו,"old,split"
2015,,כולנו,new
2015,,מרצ,old
2015,,רשימה משותפת ערבית,combined
2015,,"ש""ס","old,split"
