 שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
אבו ג'ווייעד (שבט, 0000967, 0001610, 0000313, 0000007, 0000306, 0000039, 0000000, 0000242, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000003, 0000008, 0000000, 0000000, 0000000, 0000008, 0000001, 0000000, 0000001, 0000000, 0000001, 0000000, 0000002
אבו גוש, 0000472, 0004178, 0002539, 0000033, 0002506, 0000143, 0000004, 0002114, 0000000, 0000003, 0000000, 0000010, 0000001, 0000000, 0000000, 0000002, 0000021, 0000005, 0000058, 0000041, 0000000, 0000000, 0000001, 0000041, 0000014, 0000000, 0000004, 0000002, 0000005, 0000002, 0000035
אבו סנאן, 0000473, 0008363, 0005798, 0000052, 0005746, 0000299, 0000003, 0003802, 0000000, 0000000, 0000000, 0000010, 0000001, 0000000, 0000000, 0000006, 0000158, 0000799, 0000255, 0000066, 0000003, 0000001, 0000002, 0000047, 0000041, 0000001, 0000005, 0000011, 0000021, 0000002, 0000213
אבו עבדון (שבט), 0000958, 0000119, 0000037, 0000001, 0000036, 0000000, 0000000, 0000035, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000
אבו קורינאת (שבט), 0000968, 0002685, 0000759, 0000007, 0000752, 0000084, 0000003, 0000564, 0000001, 0000001, 0000000, 0000002, 0000003, 0000002, 0000000, 0000001, 0000005, 0000001, 0000008, 0000006, 0000000, 0000000, 0000001, 0000023, 0000025, 0000001, 0000001, 0000003, 0000004, 0000005, 0000008
אבו קרינאת (יישוב, 0001342, 0000154, 0000065, 0000001, 0000064, 0000004, 0000000, 0000050, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000004, 0000000, 0000000, 0000000, 0000001, 0000000, 0000002
אבו רובייעה (שבט), 0000966, 0003502, 0000716, 0000011, 0000705, 0000054, 0000001, 0000536, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000002, 0000001, 0000000, 0000010, 0000009, 0000000, 0000001, 0000000, 0000035, 0000029, 0000001, 0000002, 0000001, 0000006, 0000000, 0000016
אבו רוקייק (שבט), 0000961, 0004205, 0001271, 0000010, 0001261, 0000031, 0000001, 0001112, 0000001, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000006, 0000003, 0000001, 0000007, 0000030, 0000000, 0000001, 0000002, 0000045, 0000002, 0000001, 0000001, 0000003, 0000002, 0000001, 0000008
אבטין, 0000652, 0001632, 0000807, 0000015, 0000792, 0000050, 0000000, 0000700, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000001, 0000007, 0000000, 0000007, 0000007, 0000000, 0000000, 0000000, 0000011, 0000003, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005
אבטליון, 0001275, 0000229, 0000188, 0000001, 0000187, 0000089, 0000000, 0000002, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000000, 0000000, 0000016, 0000001, 0000023, 0000025, 0000000, 0000000, 0000000, 0000000, 0000016, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000
אביאל, 0000679, 0000505, 0000414, 0000001, 0000413, 0000153, 0000001, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000000, 0000000, 0000053, 0000003, 0000088, 0000041, 0000000, 0000000, 0000000, 0000000, 0000058, 0000000, 0000000, 0000005, 0000001, 0000000, 0000000
אביבים, 0001115, 0000336, 0000230, 0000002, 0000228, 0000006, 0000004, 0000000, 0000000, 0000000, 0000000, 0000013, 0000000, 0000000, 0000000, 0000000, 0000018, 0000002, 0000140, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000003, 0000001, 0000000, 0000040
אביגדור, 0000819, 0000569, 0000475, 0000000, 0000475, 0000254, 0000000, 0000000, 0000000, 0000000, 0000000, 0000019, 0000000, 0000000, 0000000, 0000000, 0000028, 0000003, 0000045, 0000034, 0000000, 0000000, 0000000, 0000000, 0000080, 0000000, 0000000, 0000005, 0000000, 0000000, 0000007
אביחיל, 0000175, 0000949, 0000735, 0000003, 0000732, 0000380, 0000001, 0000001, 0000000, 0000000, 0000001, 0000024, 0000000, 0000000, 0000000, 0000000, 0000036, 0000002, 0000077, 0000071, 0000000, 0000000, 0000000, 0000000, 0000128, 0000000, 0000000, 0000005, 0000001, 0000002, 0000003
אביטל, 0002052, 0000379, 0000290, 0000002, 0000288, 0000016, 0000000, 0000000, 0000000, 0000000, 0000000, 0000023, 0000000, 0000000, 0000000, 0000000, 0000029, 0000001, 0000176, 0000001, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000002, 0000019, 0000000, 0000016
אביעזר, 0001070, 0000495, 0000406, 0000000, 0000406, 0000081, 0000004, 0000003, 0000000, 0000000, 0000000, 0000046, 0000000, 0000000, 0000000, 0000000, 0000028, 0000013, 0000130, 0000025, 0000000, 0000000, 0000000, 0000000, 0000052, 0000000, 0000000, 0000002, 0000010, 0000001, 0000011
אבירים, 0001220, 0000160, 0000123, 0000001, 0000122, 0000048, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000001, 0000009, 0000034, 0000000, 0000000, 0000000, 0000000, 0000012, 0000000, 0000000, 0000004, 0000001, 0000000, 0000004
אבן יהודה, 0000182, 0009206, 0007285, 0000036, 0007249, 0002739, 0000037, 0000009, 0000000, 0000001, 0000003, 0000304, 0000000, 0000000, 0000000, 0000000, 0000629, 0000066, 0001376, 0000482, 0000003, 0000001, 0000001, 0000002, 0001340, 0000002, 0000004, 0000080, 0000053, 0000005, 0000112
אבן מנחם, 0001081, 0000266, 0000199, 0000001, 0000198, 0000028, 0000002, 0000000, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000012, 0000003, 0000092, 0000000, 0000000, 0000000, 0000000, 0000000, 0000019, 0000000, 0000000, 0000004, 0000001, 0000000, 0000031
אבן ספיר, 0000783, 0000504, 0000379, 0000000, 0000379, 0000071, 0000001, 0000000, 0000000, 0000000, 0000000, 0000015, 0000000, 0000000, 0000000, 0000000, 0000047, 0000014, 0000172, 0000015, 0000001, 0000000, 0000000, 0000000, 0000017, 0000000, 0000000, 0000010, 0000002, 0000001, 0000013
אבן שמואל, 0000400, 0000586, 0000522, 0000003, 0000519, 0000007, 0000006, 0000000, 0000000, 0000000, 0000000, 0000232, 0000000, 0000000, 0000000, 0000000, 0000015, 0000000, 0000116, 0000001, 0000001, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000002, 0000118, 0000000, 0000019
אבני איתן, 0004011, 0000366, 0000285, 0000000, 0000285, 0000002, 0000001, 0000000, 0000000, 0000000, 0000000, 0000153, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000054, 0000002, 0000001, 0000000, 0000001, 0000000, 0000004, 0000000, 0000000, 0000008, 0000049, 0000000, 0000000
אבני חפץ, 0003793, 0000854, 0000735, 0000002, 0000733, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000389, 0000000, 0000000, 0000000, 0000000, 0000014, 0000004, 0000147, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000002, 0000141, 0000000, 0000032
אבשלום, 0001311, 0000205, 0000142, 0000004, 0000138, 0000020, 0000002, 0000000, 0000001, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000016, 0000044, 0000029, 0000002, 0000000, 0000000, 0000000, 0000000, 0000009, 0000000, 0000000, 0000008, 0000000, 0000001, 0000000
אדורה, 0003759, 0000220, 0000176, 0000000, 0000176, 0000024, 0000000, 0000000, 0000000, 0000000, 0000000, 0000057, 0000000, 0000000, 0000000, 0000000, 0000019, 0000003, 0000039, 0000001, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000004, 0000018, 0000000, 0000001
