"Date","Publisher","Pollster","Type","Sample","Party","Mandates","Election","Mandate.Group","Results","Party.En","Attribute","Attribute.En","Origin","Ideology","Ideology.En","Ideology.Group","Ideology.Group.En","Publisher.En","Pollster.En","Error","Error.abs","week","month","year","Partyid","Pollsterid","Publisherid","Election.Date","DaysLeft","Sample.Error","Mandates.lb","Mandates.ub"
2015-03-13,"ערוץ 10","קמיל פוקס","פאנל",500,"המחנה הציוני",24,2015,"(20,30]",27,"Hamachane Hazioni","איחוד","combined","Abb-B","מרכז-שמאל","Center-Left","שמאל","left","Channel 10","Camille Fuchs",-3,3,"5","03","2015",7,14,19,2015-03-17,4,0.0447213595499958,22,25
2015-03-13,"ערוץ 10","קמיל פוקס","פאנל",500,"הליכוד",20,2015,"(15,20]",27,"Likud","פיצול,ישן","old,split","Aa","ימין","Right","ימין","right","Channel 10","Camille Fuchs",-7,7,"5","03","2015",5,14,19,2015-03-17,4,0.0447213595499958,19,20
2015-03-13,"ערוץ 10","קמיל פוקס","פאנל",500,"רשימה משותפת ערבית",13,2015,"(10,15]",13,"Combined Arab Parties","איחוד","combined","I-J-K-L","שמאל","Left","שמאל","left","Channel 10","Camille Fuchs",0,0,"5","03","2015",26,14,19,2015-03-17,4,0.0447213595499958,12,13
2015-03-13,"ערוץ 10","קמיל פוקס","פאנל",500,"הבית היהודי",12,2015,"(10,15]",8,"Habayit Hayehudi","איחוד","combined","E-F","ימין","Right","ימין","right","Channel 10","Camille Fuchs",4,4,"5","03","2015",4,14,19,2015-03-17,4,0.0447213595499958,11,12
2015-03-13,"ערוץ 10","קמיל פוקס","פאנל",500,"יש עתיד",12,2015,"(10,15]",12,"Yesh Atid","ישן","old","Q","מרכז-ימין","Center-Right","ימין","right","Channel 10","Camille Fuchs",0,0,"5","03","2015",14,14,19,2015-03-17,4,0.0447213595499958,11,12
2015-03-13,"ערוץ 10","קמיל פוקס","פאנל",500,"כולנו",10,2015,"(5,10]",10,"Kulanu","פיצול,חדש","new,split","Ad","מרכז-ימין","Center-Right","ימין","right","Channel 10","Camille Fuchs",0,0,"5","03","2015",17,14,19,2015-03-17,4,0.0447213595499958,9,10
2015-03-13,"ערוץ 10","קמיל פוקס","פאנל",500,"יהדות התורה",7,2015,"(5,10]",6,"Yehadut Hatorah","ישן","old","H","ימין","Right","ימין","right","Channel 10","Camille Fuchs",1,1,"5","03","2015",12,14,19,2015-03-17,4,0.0447213595499958,6,7
2015-03-13,"ערוץ 10","קמיל פוקס","פאנל",500,"שס",7,2015,"(5,10]",7,"Shas","פיצול,ישן","old,split","Da","ימין","Right","ימין","right","Channel 10","Camille Fuchs",0,0,"5","03","2015",29,14,19,2015-03-17,4,0.0447213595499958,6,7
2015-03-13,"ערוץ 10","קמיל פוקס","פאנל",500,"ישראל ביתנו",5,2015,"(1,5]",5,"Israel Beytenu","פיצול,ישן","old,split","Ac","ימין","Right","ימין","right","Channel 10","Camille Fuchs",0,0,"5","03","2015",15,14,19,2015-03-17,4,0.0447213595499958,4,5
2015-03-13,"ערוץ 10","קמיל פוקס","פאנל",500,"יחד",5,2015,"(1,5]",0,"Yachad","פיצול,חדש","new,split","Db","ימין","Right","ימין","right","Channel 10","Camille Fuchs",5,5,"5","03","2015",13,14,19,2015-03-17,4,0.0447213595499958,4,5
2015-03-13,"ערוץ 10","קמיל פוקס","פאנל",500,"מרצ",5,2015,"(1,5]",5,"Meretz","ישן","old","G","שמאל","Left","שמאל","left","Channel 10","Camille Fuchs",0,0,"5","03","2015",19,14,19,2015-03-17,4,0.0447213595499958,4,5
2015-03-13,"ערוץ 2","מדגם - גבע וצמח","פאנל",500,"המחנה הציוני",26,2015,"(20,30]",27,"Hamachane Hazioni","איחוד","combined","Abb-B","מרכז-שמאל","Center-Left","שמאל","left","Channel 2","Midgam - Geva Tsemach",-1,1,"5","03","2015",7,6,20,2015-03-17,4,0.0447213595499958,24,27
2015-03-13,"ערוץ 2","מדגם - גבע וצמח","פאנל",500,"הליכוד",22,2015,"(20,30]",27,"Likud","פיצול,ישן","old,split","Aa","ימין","Right","ימין","right","Channel 2","Midgam - Geva Tsemach",-5,5,"5","03","2015",5,6,20,2015-03-17,4,0.0447213595499958,21,22
